Setup,Punishment,Average Loss,Last Epoch Loss,is Loss min,Task Converge,Task Fail Percentage,Safe Converge,Safe Fail Percentage,Average Time,Last Epoch Time,Average Energy,Last Epoch Energy,Average Reward,Total Reward,Alpha,Beta,First 10 Avg Time,Last 10 Avg Time,First 10 Avg Energy,Last 10 Avg Energy,First 10 Avg Safe Fail,Last 10 Avg Safe Fail,First 10 Avg Task Fail,Last 10 Avg Task Fail
0,10,-7.6503386,-20.214176,0,9997,0.0583941605839416,9897,0.0355964403559644,0.325459081659069,0.404861875,0.013105260327839,0.0109451629481321,-0.3385643419869075,-4.158070379481321,,,,,,,,,,
0,100,-6.0200095,-14.986107,0,8988,0.063993600639936,9399,0.0412958704129587,0.2919050511592912,0.46055089625,0.014933369109489,0.0107576883983476,-0.3068384202687793,-4.713085846483477,,,,,,,,,,
0,100,-6.8738337,-17.57482,0,9961,0.0605939406059394,9948,0.0405959404059594,0.3127152700951742,0.4145928750000001,0.0148545399295201,0.0088648452162679,-0.3275698100246957,-4.234577202162678,,,,,,,,,,
0,10,-5.7374034,-9.967634,0,9966,0.067993200679932,9977,0.0428957104289571,0.3156016605820948,0.250876155,0.0143446606617909,0.0084677722445487,-0.3299463212438833,-2.593439272445488,,,,,,,,,,
0,100,-7.585383,-13.168864,0,9828,0.057994200579942,9055,0.0347965203479652,0.321788038680776,0.2921518675,0.0135212182882421,0.010704763783742,-0.3353092569690191,-3.0285663128374205,,,,,,,,,,
0,10,-7.5319595,-13.660311,0,9946,0.0571942805719428,9670,0.0385961403859614,0.3216382855716952,0.344277865,0.0132317931964037,0.0071760653382718,-0.334870078768099,-3.514539303382719,,,,,,,,,,
0,10,-7.6568117,-13.419905,0,9951,0.0600939906009399,9697,0.0351964803519648,0.3249927846947725,0.293400615,0.01298794065001,0.0057826212699149,-0.337980725344783,-2.9918323626991494,,,,,,,,,,
0,10,-6.4738235,-18.695024,0,9856,0.0665933406659334,9856,0.044995500449955,0.3182702933062174,0.5058632949999999,0.0143510520142593,0.0102167035055673,-0.3326213453204756,-5.160799985055673,,,,,,,,,,
2,100,-110.61987,-207.23706,0,9744,0.0678932106789321,9933,0.0431956804319568,0.3052010070392175,0.34729827375,0.0162446543157,0.0108761244513079,-6.830644844987188,-49.52443871933295,,,,,,,,,,
2,100,-112.68408,-215.96407,0,9766,0.0675932406759324,9630,0.0437956204379562,0.2951448443223919,0.2791747699999999,0.0172137135581061,0.0089445050846387,-6.940495820336224,-65.56970553250477,,,,,,,,,,
2,100,-215.57407,-432.955,0,9865,0.0681931806819318,9827,0.0481951804819518,0.2377341758228003,0.1841682031249999,0.0269843584945693,0.0269834315729538,-10.192451445394331,-104.26660093519716,,,,,,,,,,
2,100,-91.44171,-207.06572,0,9601,0.0623937606239376,9857,0.0407959204079592,0.3121388587907869,0.4096880925,0.0145305535957763,0.0079475835470339,-6.36019900283406,-54.57224747415437,,,,,,,,,,
2,100,-116.8926,-163.02957,0,9882,0.0644935506449355,9922,0.044995500449955,0.2994757959372403,0.37215037,0.0159916332578836,0.0111112311549329,-6.933291786685371,-46.16501380487074,,,,,,,,,,
2,1000,-112.21448,-135.27415,0,9963,0.0615938406159384,9795,0.0352964703529647,0.3097303243014405,0.3155085875,0.0143328392456218,0.0136718710364105,-6.5199588038090335,-41.687200318540235,,,,,,,,,,
