,Setup,Learning Mode,Punishment,Alpha,Beta,Average Loss,Last Epoch Loss,is Loss min,Task Converge,Task Fail Percentage,Safe Converge,Safe Fail Percentage,Average Time,Last Epoch Time,Average Energy,Last Epoch Energy,Average Reward,Total Reward,First 10 Avg Time,Mid 10 Avg Time,Last 10 Avg Time,First 10 Avg Energy,Mid 10 Avg Energy,Last 10 Avg Energy,"First 10 (total, task, safe) Fail","Mid 10 (total, task, safe) Fail","Last 10 (total, task, safe) Fail"
4,0,1,10,1.0,10.0,-72.77804,-143.49756,0,9915,0.0686931306869313,9686,0.0422957704229577,0.3222680606681702,0.3104545425,0.0134662753990728,0.0077482099863327,-3.236146882080765,-31.122936349863327,0.134936357215238,0.3414520992702857,0.3280857913966667,0.0514665526688662,0.0108713507085792,0.0101072398018716,"[11, 0.6, 0.5]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
5,0,1,10,0.5,0.5,-3.261299,-5.16086,0,9986,0.0662933706629337,9734,0.0395960403959604,0.3202558385508858,0.261576275,0.0140639918731449,0.0105112847828455,-0.1671599152120149,-1.3604377989142271,0.1204720762809285,0.37452372975,0.34892012175,0.0463728707078427,0.0094242168649419,0.0088924209406431,"[17, 1.2, 0.5]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
6,0,1,10,1.0,1.0,-7.6784124,-15.336176,0,9955,0.0614938506149385,9766,0.0370962903709629,0.3232114700381136,0.390514825,0.0139392784124758,0.0065833800454304,-0.337150748450588,-3.970982050454304,0.1495298801798095,0.3631921235,0.3566625519999999,0.0471569387778112,0.0089787458733547,0.0087696508346114,"[10, 0.5, 0.5]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
7,0,1,100,1.0,2.0,-15.215915,-25.71992,0,9824,0.057994200579942,9750,0.0362963703629637,0.3241219340428197,0.351256324375,0.0134511906296384,0.0082983745696985,-0.6616950587152791,-7.108110233196985,0.1749966061045476,0.3589594325,0.3565564866875,0.0418757883780874,0.0090753530144843,0.0087826182629428,"[8, 0.3, 0.5]","[1, 0.1, 0.0]","[0, 0.0, 0.0]"
9,0,1,100,1.0,5.0,-35.574703,-67.3716,0,9924,0.0653934606539346,9982,0.0387961203879612,0.321275088727373,0.2853111725,0.0140015284226276,0.0082720066189355,-1.6203769720594916,-14.348278691189355,0.1576727787647857,0.3414472301249999,0.3364457441155715,0.0415030507546597,0.0115028895274523,0.0103802627414535,"[12, 0.8, 0.4]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
13,0,1,100,1.0,1.0,-7.026489,-7.9502435,0,9803,0.0678932106789321,9785,0.0404959504049595,0.3161946783907117,0.2066510299471429,0.0145368932002175,0.0224292450955332,-0.3307315715909288,-2.290802750426761,0.1453411690089524,0.3663629459408333,0.3470441007447142,0.0489536491226189,0.0109062640920968,0.0101032283910281,"[11, 0.8, 0.3]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
14,0,1,1000,1.0,2.0,-16.163519,-17.33089,0,9752,0.0635936406359364,9992,0.035996400359964,0.3211192476745015,0.2339561849999999,0.0136939967124746,0.0082153661390304,-0.655932492061479,-4.761277361390304,0.1292469376129524,0.4163937768649999,0.3598370683749999,0.042442081394988,0.0101895640875883,0.0085795938159384,"[14, 0.9, 0.5]","[0, 0.0, 0.0]","[1, 0.0, 0.1]"
15,0,1,1000,0.2,0.8,-6.351838,-6.543402,0,9356,0.0637936206379362,9779,0.0391960803919608,0.2923764510379746,0.2759596099999999,0.0149663919975976,0.0078654806612466,-0.2368944392298989,-2.223407841322494,0.1474424950504524,0.3476608323366666,0.28609571525,0.0451629023780595,0.0107357034906745,0.0106397646576915,"[12, 0.8, 0.4]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
