Setup,Learning Mode,Punishment,Alpha,Beta,Average Loss,Last Epoch Loss,is Loss min,Task Converge,Task Fail Percentage,Safe Converge,Safe Fail Percentage,Average Time,Last Epoch Time,Average Energy,Last Epoch Energy,Average Reward,Total Reward,First 10 Avg Time,Mid 10 Avg Time,Last 10 Avg Time,First 10 Avg Energy,Mid 10 Avg Energy,Last 10 Avg Energy,"First 10 (total, task, safe) Fail","Mid 10 (total, task, safe) Fail","Last 10 (total, task, safe) Fail"
0,1,10,1.0,2.0,-15.335351,-29.30516,0,9992,0.0600939906009399,9745,0.0320967903209679,0.3243948837006765,0.3172600425,0.0133531601371069,0.007572516221379,-0.6621429275384565,-6.420926012213791,0.1334221610029762,0.3438295302816667,0.37893376975,0.0450703803018872,0.0107567179905153,0.0083129125813666,"[11, 0.7, 0.4]","[0, 0.0, 0.0]","[1, 0.1, 0.0]"
0,1,10,0.2,0.8,-5.212127,-3.8795428,0,9647,0.0661933806619338,9959,0.038996100389961,0.3214531569228873,0.27286054,0.0141323426772972,0.0082916140557441,-0.2599889940737693,-2.199467548111489,0.1380111520470952,0.3659521034683333,0.3446073376275,0.0457331358650319,0.0097769438276739,0.0101235433811725,"[10, 0.6, 0.4]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,1,10,1.0,5.0,-35.74183,-77.6292,0,9702,0.0668933106689331,9789,0.0444955504449555,0.319327565815432,0.4123639862499999,0.0138185639312008,0.0069843324973104,-1.6104563930083555,-20.688042637473103,0.1422239057747381,0.358695937875,0.392321905385,0.0513810864891245,0.009530642768704,0.0093988565327337,"[10, 0.3, 0.7]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,1,10,0.4,0.6,-4.5388203,-5.324797,0,9758,0.0585941405859414,9628,0.0327967203279672,0.3244792095888408,0.227615645,0.0134698813853731,0.0094314129738409,-0.200075478307454,-1.4034195218953636,0.1370410043812381,0.3201500397083333,0.3281817785,0.0468293144707945,0.0102659816564552,0.0090776875346851,"[10, 0.5, 0.5]","[2, 0.0, 0.2]","[0, 0.0, 0.0]"
0,1,10,1.0,10.0,-72.77804,-143.49756,0,9915,0.0686931306869313,9686,0.0422957704229577,0.3222680606681702,0.3104545425,0.0134662753990728,0.0077482099863327,-3.236146882080765,-31.122936349863327,0.134936357215238,0.3414520992702857,0.3280857913966667,0.0514665526688662,0.0108713507085792,0.0101072398018716,"[11, 0.6, 0.5]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,1,10,0.5,0.5,-3.261299,-5.16086,0,9986,0.0662933706629337,9734,0.0395960403959604,0.3202558385508858,0.261576275,0.0140639918731449,0.0105112847828455,-0.1671599152120149,-1.3604377989142271,0.1204720762809285,0.37452372975,0.34892012175,0.0463728707078427,0.0094242168649419,0.0088924209406431,"[17, 1.2, 0.5]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,1,10,1.0,1.0,-7.6784124,-15.336176,0,9955,0.0614938506149385,9766,0.0370962903709629,0.3232114700381136,0.390514825,0.0139392784124758,0.0065833800454304,-0.337150748450588,-3.970982050454304,0.1495298801798095,0.3631921235,0.3566625519999999,0.0471569387778112,0.0089787458733547,0.0087696508346114,"[10, 0.5, 0.5]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,1,100,1.0,2.0,-15.215915,-25.71992,0,9824,0.057994200579942,9750,0.0362963703629637,0.3241219340428197,0.351256324375,0.0134511906296384,0.0082983745696985,-0.6616950587152791,-7.108110233196985,0.1749966061045476,0.3589594325,0.3565564866875,0.0418757883780874,0.0090753530144843,0.0087826182629428,"[8, 0.3, 0.5]","[1, 0.1, 0.0]","[0, 0.0, 0.0]"
0,1,100,0.2,0.8,-5.859038,-9.944506,0,9726,0.0595940405959404,9139,0.0376962303769623,0.3211674247770046,0.292406125,0.0140507607967507,0.0078239714169649,-0.2597440919809534,-2.35489694283393,0.1454219283140952,0.3448903680816667,0.35041842175,0.0469431947246424,0.0120399431567606,0.0089279367749543,"[14, 0.9, 0.5]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,1,100,1.0,5.0,-35.574703,-67.3716,0,9924,0.0653934606539346,9982,0.0387961203879612,0.321275088727373,0.2853111725,0.0140015284226276,0.0082720066189355,-1.6203769720594916,-14.348278691189355,0.1576727787647857,0.3414472301249999,0.3364457441155715,0.0415030507546597,0.0115028895274523,0.0103802627414535,"[12, 0.8, 0.4]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
