Setup,Punishment,Average Loss,Last Epoch Loss,Task Converge,Task Fail Percentage,Safe Converge,Safe Fail Percentage,Average Time,Last Epoch Time,Average Energy,Last Epoch Energy,Average Reward,Last Epoch Reward,First 10 Avg Time,Mid 10 Avg Time,Last 10 Avg Time,First 10 Avg Energy,Mid 10 Avg Energy,Last 10 Avg Energy,First 10 Avg Reward,Mid 10 Avg Reward,Last 10 Avg Reward,First 10 Avg Loss,Mid 10 Avg Loss,Last 10 Avg Loss,"First 10 (total, task, safe) Fail","Mid 10 (total, task, safe) Fail","Last 10 (total, task, safe) Fail"
5,0,-0.0009206375468898,0.0126051657833158,0,0.9870259481037924,1,0.4700598802395209,7.44174906736121,11.502591666666667,1.5693092259668306,3.0133556113130533,0.0222829677025065,0.0122131191135954,9.09755242857143,7.474404666666667,7.471111196963145,1.4420748510021664,1.57363941116212,1.5661193069173789,0.0216849864301892,0.0150069175940168,0.0222490067655818,-0.0065444203856168,-0.0006961627386044,-0.0009406147803516,[0.33 0.28 0.05],[0.45 0.35 0.1 ],[0.41239919 0.34879032 0.06360887]
5,0,8.009737194531601e-05,0.0544451605528593,0,0.9476701553229784,510,0.0537964135724285,2.8072364062864485,1.609375,1.8789269450186177,1.3081471990831768,0.0612358624552465,0.0006348274658101,7.335798333333332,2.47275,2.8075134431996265,1.587401400383084,2.009923719787449,1.8790177960681649,0.0149784933984442,0.0683068200755005,0.061241876797049,-0.0049493435362819,-0.0018501104984898,7.53789745239147e-05,[0.36 0.33 0.03],[0.2 0.2 0. ],[0.26618098 0.25950587 0.00667511]
5,0,2.5291980940146135,5.239047050476074,53,0.1109155633774649,0,0.8345266189352426,1.7629371355096624,0.8676000000000001,5.53698575773747,4.862992780000001,-19.309218552394213,-56.99967631392637,8.784269166666666,1.145796,1.7630597527221563,1.686233646532224,6.3373255252,5.536836228866707,-4.294498825095067,-16.00074515072533,-19.307000725419307,3.759939680196694,-1.1246957159042352,2.5306677019527553,[0.42 0.34 0.08],[0.14 0.   0.14],[0.20396063 0.02378581 0.18017483]
5,0,1.7720333096237015,-18.652255249023437,72,0.1677332906683732,0,0.7938282468701252,2.2033167850547857,1.094498571428571,5.35514143726688,6.449490578285714,-19.346278501145655,-18.99611395389313,7.824395,1.1205312857142855,2.2035560123584146,1.3637891058324685,6.253864019542857,5.3550731548569654,-4.07776793098846,-13.000481969897248,-19.34216868963364,-29.483486833572393,-6.03417854309082,1.7719882617620777,[0.36 0.29 0.07],[0.12 0.   0.12],[0.2031065  0.03717395 0.16593255]
5,0,1799341.6970346833,3.0810673117637633,4,0.2637694492220311,103,0.0379184832606695,12.07714712747663,30.9625,2.7492945976376233,1.1564363578593215,-2.1153605431279012,0.0110003291559683,8.427522333333332,5.843084166666666,12.075402358010152,1.7096325791764424,2.2146180008446072,2.7494974423683045,-3.98538507903642,-0.9402368851966084,-2.1154135956119777,-31.97337677001953,1.0638669509533794,1799701.6287616375,[0.38 0.32 0.06],[0.01 0.01 0.  ],[0.05924348 0.0549868  0.00425668]
5,0,2.344954261770935,36.25419387817383,70,0.1140154393824247,0,0.8339466421343146,1.6420072818686502,0.7237457142857143,5.620670468872781,4.049223834857143,-18.880803245808774,-56.990290920643474,8.367305833333331,2.504511428571429,1.6421382753038405,1.6043926190146116,6.190179046105647,5.620686325205651,-4.092679052672242,-6.9916655803845815,-18.87660020818641,3.112012555859983,20.445440373420713,2.344576907718205,[0.39 0.33 0.06],[0.07 0.06 0.01],[0.19711354 0.02171747 0.17539606]
5,0,1925.552069608574,9932.51628112793,62,0.1904809519048095,0,0.8107689231076892,2.317535919156437,0.641797142857143,5.154781705618538,3.829624856571429,-20.572111534671084,-75.9987559793509,6.0800525,1.3948040000000002,2.318166342663722,1.764456222099592,5.817526938527714,5.154457777465928,-4.202248163181419,-19.002146111053037,-20.563398594463557,55.16301711708773,1558.4165068495274,1923.56620427192,[0.39 0.36 0.03],[0.18 0.01 0.17],[0.22179372 0.04746899 0.17432473]
5,0,20.01238144151956,-0.0123128982915659,2994,0.1326911539230718,1022,0.0464635690953936,4.99684897128822,4.241875,3.002353613953316,2.185085089333736,-0.7218736575857722,0.0634321686193317,10.19509373809524,2.6890124999999996,4.996813889587511,1.74127354082593,4.081672867564125,3.0026725339444695,-4.102563196880003,0.022852866129276,-0.7221287677362564,61.46806774484926,0.0076360937495496,20.01904377855498,[0.39 0.3  0.09],[0. 0. 0.],[0.03588957 0.03038477 0.0055048 ]
5,0,9.593418287215476,-2.350238210055977e-05,14580,0.0818278781414572,14059,0.0353976401573228,4.886324339252228,3.168125,3.1000516973924235,2.837864924544112,-0.3418485567557673,0.1281928083389397,7.675454619047619,5.81825,4.886904162979052,1.25402871458119,2.962316158728613,3.1001373198455204,-5.2938880515641165,0.0557200522148869,-0.3419831028412697,68.04468478154187,0.031178498463464,9.596612688009053,[0.45 0.37 0.08],[0. 0. 0.],[0.02242265 0.01816484 0.0042578 ]
5,0,195.3365018237297,0.1067557932052295,544,0.2528164789014065,4860,0.0519632024531697,7.123662948338271,9.013125,2.06775920042795,1.9096427307079544,-2.501788775118144,0.0050092177269441,8.494017523809523,5.88725,7.124209395755234,1.6619808998812755,2.2766841849145676,2.06773492615209,-4.594471046411465,0.0604891450489469,-2.5026453071789487,51.716470527671035,0.354253893806599,195.40154984321543,[0.43 0.38 0.05],[0. 0. 0.],[0.05329421 0.04720926 0.00608496]
5,0,2110.20517667135,2244.016802120209,0,0.8842315369261478,8,0.3343313373253493,12.334731922125496,19.08435,1.4466070145111662,1.0412059208574758,-22.18081702107728,-18.987998744690337,7.201124166666666,10.219256833333333,12.252561188073615,1.24416570769411,1.4973735807047657,1.4521538151204108,-5.726570211871388,-29.21434653125549,-22.27130124226045,76.8149384335377,2135.658654077649,2104.7716541460727,[0.45 0.33 0.12],[0.31 0.28 0.03],[0.28830645 0.24586694 0.04243952]
5,0,6.726774741711697,0.0473018568570296,189,0.2806438712257548,101,0.0824835032993401,10.510895547350035,12.264375,1.3675119130553783,1.3184688698357925,-0.691668599461567,0.0367368418005038,9.365373333333334,11.304954166666668,10.511304185671866,1.794678203597369,1.3679571661415029,1.367597757907668,-3.4915741893766716,-0.0654140299311908,-0.6924363830422562,40.16968072150775,1.1850425142038512,6.7334873510590425,[0.33 0.23 0.1 ],[0.01 0.01 0.  ],[0.07309848 0.06348078 0.00961769]
