Setup,Learning Mode,Punishment,Alpha,Beta,Average Loss,Last Epoch Loss,Task Converge,Task Fail Percentage,Safe Converge,Safe Fail Percentage,Average Time,Last Epoch Time,Average Energy,Last Epoch Energy,Average Reward,Last Epoch Reward,First 10 Avg Time,Mid 10 Avg Time,Last 10 Avg Time,First 10 Avg Energy,Mid 10 Avg Energy,Last 10 Avg Energy,First 10 Avg Reward,Mid 10 Avg Reward,Last 10 Avg Reward,First 10 Avg Loss,Mid 10 Avg Loss,Last 10 Avg Loss,"First 10 (total, task, safe) Fail","Mid 10 (total, task, safe) Fail","Last 10 (total, task, safe) Fail"
1,1,0,1,1,-0.0404189676046371,-9.674700413597748e-05,0,0.9301139772045592,2147,0.0076984603079384,0.0307704736669184,0.025,0.0220702273562402,0.0215172322186736,-0.0528407010231525,-0.0465172322186736,0.1200999999999999,0.0234375,0.0307778132462072,0.0361177265360477,0.0198755077664181,0.0220721268879662,-0.1562177265360477,-0.0433130077664181,-0.0528499401341735,-0.3404402539134025,-0.0063349915260914,-0.0404594908018883,[0.08 0.08 0.  ],[0.24 0.24 0.  ],[0.23952162 0.23874099 0.00078062]
2,1,0,1,1,6.5624165534973145,0.0729792043566703,559,0.1784643071385722,859,0.021995600879824,0.0385118815499404,0.03125,0.0304711001872842,0.0278154386967856,15.241385517821824,16.93037454836375,0.1064748809523809,0.03125,0.0385188371915676,0.0370809593987317,0.0278885979161218,0.0304738352115673,7.412272523660048,16.91171550050355,15.239743326276436,16.155706214904786,0.8239746123552323,6.568429906562548,[0.14 0.12 0.02],[0. 0. 0.],[0.02854283 0.026251   0.00229183]
3,1,0,1,1,-3.3038060665130615,-2.381619453430176,0,0.8908218356328734,13,0.0690861827634473,0.0714793118307213,0.046125,0.0332706890522942,0.0356074897473749,-1.69584188614775,-1.8848296054622495,0.1369853571428571,0.0613208333333333,0.0715060819022834,0.0394302687156281,0.0352655153832422,0.0332746806687294,-2.0061245531528153,-1.6845743707971028,-1.695859559015256,-4.3701683521270756,-3.4261212229728697,-3.3046644870588913,[0.08 0.08 0.  ],[0.21 0.19 0.02],[0.2113791  0.20420336 0.00717574]
4,1,0,1,1,-1.479267716407776,-0.5929579734802246,0,0.8933213357328534,19,0.0667866426714657,0.0595914884702004,0.03375,0.0328873451601424,0.0306162938767427,-0.8916471468218004,-0.8673700968238707,0.1188145238095238,0.049875,0.0596179913112277,0.0324728919241964,0.0359365552206327,0.0328919802813332,-1.055133804190596,-0.8626508536386309,-0.8916646723012901,-2.2989359378814695,-1.534202355146408,-1.4800491463890748,[0.11 0.1  0.01],[0.24 0.24 0.  ],[0.21214972 0.20522418 0.00692554]
5,1,0,1,1,1.5560542345046997,1.366838455200195,5,0.3762247550489902,13,0.0716856628674265,0.0715893468986436,0.0384166666666666,0.0400912141663648,0.0473509383372866,0.8403303662678814,0.918290841145662,0.1275103571428571,0.0789123809523809,0.0716127303859187,0.0357023101911323,0.0442375704211948,0.0400899964590388,0.7579164110116692,0.8476282739071109,0.8402649196998997,1.651504147052765,1.6386663556098937,1.55624196811811,[0.09 0.08 0.01],[0.05 0.05 0.  ],[0.05773619 0.05034027 0.00739592]
6,1,0,1,1,2.8720107078552246,0.2328605353832245,23,0.2897420515896821,173,0.0415916816636672,0.0447111566224336,0.03125,0.0349207649913325,0.0282095942966631,2.485933703007555,2.822458284565918,0.1126895238095238,0.0349686904761904,0.0447246757796302,0.043250393919302,0.0339573767057738,0.0349268164104666,1.7352183297751842,2.568874696774196,2.4856040105370307,3.781558990478515,3.00390682220459,2.8739712592026048,[0.1 0.1 0. ],[0.03 0.02 0.01],[0.04323459 0.03897118 0.00426341]
7,1,0,1,1,-0.008348934352397919,-5.0453480071155354e-05,0,0.9133173365326934,3277,0.016696660667866427,0.029671334533212926,0.021875,0.021927072436487585,0.01780156696170666,-0.004918658496943906,-0.002248899951238275,0.12637071428571428,0.022122857142857145,0.02967913789076836,0.031294491364374684,0.01935951966419169,0.02193117022462546,-0.047774300652422164,-0.002506109427811927,-0.004921326998350232,-0.1040837811306119,-0.001912332361098379,-0.00835714781149673,[0.16 0.13 0.03],[0.3 0.3 0. ],[0.22674139 0.22503002 0.00171137]
