Setup,Learning Mode,Punishment,Alpha,Beta,Average Loss,Last Epoch Loss,is Loss min,Task Converge,Task Fail Percentage,Safe Converge,Safe Fail Percentage,Average Time,Last Epoch Time,Average Energy,Last Epoch Energy,Average Reward,Total Reward,First 10 Avg Time,Mid 10 Avg Time,Last 10 Avg Time,First 10 Avg Energy,Mid 10 Avg Energy,Last 10 Avg Energy,"First 10 (total, task, safe) Fail","Mid 10 (total, task, safe) Fail","Last 10 (total, task, safe) Fail"
0,0,10,1,1,-18.57126,-47.304066,0,9812,0.0457954204579542,9852,0.0295970402959704,0.3299370987278493,0.366278725,0.0124774960786378,0.0070464823611945,-0.3299370987278493,-3.66278725,0.1331152327486428,0.3866064372833334,0.334470151,0.0468113237844379,0.0098194259230811,0.0089338595311407,"[14, 0.7, 0.7]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,1,10,1,1,-7.0352044,-9.731726,0,9912,0.0558944105589441,9634,0.0317968203179682,0.3254514133674273,0.359575125,0.0130286689290499,0.0072291205794959,-0.3254514133674273,-3.5957512499999997,0.114257510920119,0.340509855,0.35449803525,0.0526465070258031,0.0095875721790645,0.0086657513843473,"[7, 0.3, 0.4]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,2,10,1,1,-6.6117764,-14.753148,0,9996,0.0653934606539346,9954,0.0348965103489651,0.3225352316753641,0.34235074,0.0137399564895766,0.0070947875348003,-0.3225352316753641,-3.4235074,0.1646718571151428,0.3730467574999999,0.38528831275,0.0446641672172569,0.0090053225593466,0.0081173343202875,"[12, 0.9, 0.3]","[0, 0.0, 0.0]","[1, 0.1, 0.0]"
0,0,100,1,1,-27.33574,-9.78297,0,9801,0.0451954804519548,9521,0.027997200279972,0.3309862572405945,0.254312345,0.0121761438029249,0.0086628332503795,-0.3309862572405945,-2.54312345,0.1718858875274762,0.384692608125,0.380426887,0.0435637029358598,0.0088535900246932,0.0084335596928385,"[11, 0.6, 0.5]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,1,100,1,1,-7.0682125,-14.120526,0,9969,0.0570942905709429,9893,0.0340965903409659,0.3252869052582686,0.4340290175,0.0132786183716169,0.0059272163202727,-0.3252869052582686,-4.340290175,0.1402973355438095,0.3690855240399999,0.36760678742,0.0435461174212134,0.0106487003260956,0.0093138448102203,"[16, 1.0, 0.6]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,2,100,1,1,-7.1943955,-15.224223,0,9665,0.0582941705829417,9642,0.0326967303269673,0.3242204027358585,0.3855195349999999,0.013265833135774,0.0064806960208206,-0.3242204027358585,-3.85519535,0.1481358815524762,0.3746785279999999,0.3328723415072142,0.0483251847399267,0.0088787411417322,0.0107611114795074,"[11, 0.7, 0.4]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,0,1000,1,1,-26.871641,-28.695515,0,9801,0.0492950704929507,9973,0.0293970602939706,0.32832004929541,0.2688296842,0.0127638625735706,0.0147760070869017,-0.32832004929541,-2.688296842,0.1249057012755476,0.3469159816866667,0.3476500341091667,0.0435029420192534,0.0106379537984819,0.0111137730194021,"[13, 0.9, 0.4]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,1,1000,1,1,-9.301068,-15.683536,0,9954,0.0585941405859414,9906,0.0337966203379662,0.3237926108372359,0.3490599225,0.0134926822062551,0.0072629138436678,-0.3237926108372359,-3.4905992250000004,0.1155884671512618,0.3955754408749999,0.363208561125,0.0468163851228627,0.0085754810464143,0.0088781675441082,"[10, 0.6, 0.4]","[1, 0.1, 0.0]","[0, 0.0, 0.0]"
0,2,1000,1,1,-9.188842,-11.443586,0,9999,0.0605939406059394,9732,0.0344965503449655,0.3247348058403966,0.2591659375,0.0137862980416443,0.0084904452909896,-0.3247348058403966,-2.591659375,0.1578321015773571,0.3969122312033333,0.3210026055,0.048651595989029,0.0094375494667073,0.0091309408418795,"[11, 0.8, 0.3]","[1, 0.1, 0.0]","[1, 0.1, 0.0]"
0,0,10,1,1,-1.2339584,-3.678646,0,9999,0.1740825917408259,9823,0.0176982301769823,0.0594992133966057,0.0271925214666666,0.0903555495656741,0.1043980272471448,-0.0594992133966057,-0.2719252146666666,0.1596753525916666,0.0360039200058333,0.0323216694066666,0.0421316538846146,0.1033649916375295,0.0975326683982081,"[11, 1.1, 0.0]","[0, 0.0, 0.0]","[2, 0.2, 0.0]"
