Setup,Learning Mode,Punishment,Alpha,Beta,Average Loss,Last Epoch Loss,is Loss min,Task Converge,Task Fail Percentage,Safe Converge,Safe Fail Percentage,Average Time,Last Epoch Time,Average Power,Last Epoch Power,Average Reward,Total Reward,First 10 Avg Time,Mid 10 Avg Time,Last 10 Avg Time,First 10 Avg Power,Mid 10 Avg Power,Last 10 Avg Power,"First 10 (total, task, safe) Fail","Mid 10 (total, task, safe) Fail","Last 10 (total, task, safe) Fail"
0,1,0,1,1,-2.5581691,-3.613546,0,9997,0.4417558244175582,9990,0.07999200079992,0.0770636128016923,0.0566305466999999,4.546454438299038,5.082884276031388,-0.1405232458421303,-1.571270534162009,0.1842168240950476,0.0550294918583333,0.0505051735195476,2.1533492002863075,4.98901738279867,5.605991622464432,"[23, 2.2, 0.1]","[5, 0.5, 0.0]","[3, 0.3, 0.0]"
0,1,0,1,1,-2.8076258,-4.58734,0,9999,0.4276572342765723,9994,0.0434956504349565,0.0745964384827249,0.0700300017333333,4.509324715468549,5.120344043999708,-0.1393739906557261,-1.582865243019827,0.1456226073325,0.0792143963025,0.0383419110258333,2.3933106934150317,4.346327042984606,5.401332772524588,"[12, 1.1, 0.1]","[1, 0.0, 0.1]","[3, 0.1, 0.2]"
0,1,0,1,1,-0.14750327,-0.18300405,0,10001,0.7505249475052495,9996,0.0745925407459254,0.1767518569123456,0.2433951168083334,1.838622963354783,1.2961225692464116,0.0567092787760043,0.3991757272417333,0.1402628276666666,0.1876914102172857,0.2198101153608333,1.8277453292810115,1.690440845184217,1.8412273739178424,"[19, 1.8, 0.1]","[17, 1.6, 0.1]","[13, 1.2, 0.1]"
0,1,0,1,1,-0.4340219,-1.7494596,0,10001,0.7503249675032497,9944,0.0763923607639236,0.1696699635450098,0.2534361150583333,1.953928833909903,1.4493736107970907,0.1696699635450098,2.5343611505833334,0.1558660603534047,0.2094062604466666,0.1590475207375,2.854617035201833,2.1639933543599335,1.5345891576105335,"[14, 1.3, 0.1]","[11, 1.1, 0.0]","[9, 0.9, 0.0]"
0,1,0,1,1,-0.4584619,-1.2080057,0,10001,0.6049395060493951,9995,0.096990300969903,0.0815332048711047,0.0335538842333333,4.389883590999895,5.458005549607377,-0.0815332048711047,-0.3355388423333334,0.1430896891810714,0.03635747942,0.0376488340291666,2.8517217979454683,5.335646541066593,5.476613751549871,"[15, 1.5, 0.0]","[15, 1.4, 0.1]","[7, 0.6, 0.1]"
0,1,0,1,1,-0.14745523,-0.11166406,0,10001,0.7502249775022498,9979,0.0774922507749225,0.1764988439370736,0.154580280625,1.8267126417404336,0.5520843941888113,0.056340625367264,0.1688778240034899,0.1654794941566666,0.2255311543200476,0.1709768935658333,2.275662761754039,1.1277723779307076,1.4493681892369097,"[23, 2.1, 0.2]","[11, 1.0, 0.1]","[13, 1.3, 0.0]"
0,1,0,1,1,-5.1556334,-7.37267,0,10000,0.7474252574742526,9966,0.0728927107289271,0.1739908148709578,0.0684713641083333,1.8673042833462028,1.755925792390089,1.8673042833462028,17.55925792390089,0.1783328308652619,0.1697166513183333,0.1530162997758333,1.808796971851236,1.3591653719001582,1.8241661660419068,"[15, 1.4, 0.1]","[16, 1.5, 0.1]","[11, 1.1, 0.0]"
0,0,0,1,1,-12.396082,-7.602065,0,10001,0.7553244675532447,9985,0.0708929107089291,0.1790792729069745,0.211428675725,1.7438302293115926,1.1515658348433713,1.7438302293115926,11.515658348433712,0.1384128593195,0.18096068584,0.1631069242583333,2.488285732806521,1.360432167070644,1.8128321190995809,"[14, 1.1, 0.3]","[13, 1.3, 0.0]","[7, 0.7, 0.0]"
0,0,0,1,1,-11.995733,-37.845024,0,10001,0.7421257874212579,9982,0.0734926507349265,0.1792003951669554,0.1393531978583333,1.7279041882116706,1.9083054837211004,1.7279041882116706,19.083054837211005,0.1797350408533333,0.1659227314641666,0.1805847594654523,2.3449881448534753,1.5719813946930774,1.758572345340808,"[14, 1.3, 0.1]","[11, 1.0, 0.1]","[10, 1.0, 0.0]"
0,0,0,1,1,-1.3350161,-1.9387274,0,10001,0.7410258974102589,9976,0.071992800719928,0.1734599744939586,0.1272699258916666,1.8391109057027677,2.042185812798906,0.1734599744939586,1.2726992589166664,0.1249391285716666,0.2122851115441666,0.1699399684901904,2.497290961306117,1.4980058891180152,2.1014125950776927,"[16, 1.6, 0.0]","[10, 0.9, 0.1]","[14, 1.4, 0.0]"
0,0,0,1,1,-5.817475,-11.855065,0,10001,0.7815218478152185,10000,0.1017898210178982,0.1831680633536501,0.1582376055990476,3.3076408656548737,3.648316496037264,0.1831680633536501,1.5823760559904765,0.1408962378008095,0.1663954442806667,0.1340284648469762,3.019015900488624,3.635261878618345,4.272954526075379,"[14, 1.3, 0.1]","[20, 1.9, 0.1]","[11, 1.0, 0.1]"
0,1,0,1,1,-1.3655072,-0.9448155,0,10001,0.7746225377462254,9980,0.1102889711028897,0.1809290370138496,0.0688022888083333,3.3456477148642474,2.7795505970486096,0.1809290370138496,0.6880228880833332,0.1765832253269999,0.2056022325160952,0.1734461676479999,2.612405919787906,2.9119660719050513,3.1192308892985627,"[16, 1.6, 0.0]","[12, 1.2, 0.0]","[11, 1.1, 0.0]"
0,1,0,1,1,-1.4075416,-3.3015282,0,10001,0.7788221177882212,9811,0.0263973602639736,0.1241405921312625,0.1559583333333333,3.830918594948222,0.9008375820898726,0.1241405921312625,1.559583333333333,0.1271455952380952,0.1167122619047618,0.1508788095238095,4.150258103909733,3.743084908152278,3.203759704562033,"[9, 0.9, 0.0]","[8, 0.8, 0.0]","[17, 1.7, 0.0]"
00,1,0,1,1,-2.8155344,-7.066228,0,10001,0.7827217278272173,9954,0.0287971202879712,0.12378423324334231,0.12445714285714286,3.8183340380321353,6.997403711583894,0.12378423324334231,1.2445714285714287,0.09160988095238096,0.15062250000000002,0.1441160714285714,4.847403905148453,4.301757353892476,4.651113168886427,"[13, 1.2, 0.1]","[15, 1.4, 0.1]","[12, 1.2, 0.0]"
